name,closest
Summit Coffee,"[606, 2784]"
BROTHERS KEBAB & PIZZA,"[1707, 1785]"
The Ugly Mutt Restaurant and Bar,"[1409, 2067]"
Wired Scholar Belk Library,
O'Briens,
UNH Dairy Bar,
Jamaican Joe's,
Mark Twain Casino,[996]
Morning People Cafe,[2561]
Roberta's Diner,
Taqueria sabor a mi tierra,"[843, 1104, 1686, 2118]"
Scurry North 40,
Seawall Bar,
Forks Country Restaurant,
Ciro's Pizza & Subs,
Cocula Restaurant,
DiMillo's On The Water,
Fritz's Adventure,
The patch,"[239, 284, 480, 519, 537, 652, 734, 789, 1048, 1205, 1276, 1333, 1397, 1459, 1649, 2089, 2090, 2115, 2144, 2180, 2188, 2229, 2250, 2315, 2347, 2400, 2723, 2882, 2910, 2914, 2925, 2935]"
The Coffee Scene - Womack AMC,
Snow's BBQ,
Cafe Rabaiotti,"[11, 26, 61, 283, 547, 562, 610, 857, 1375, 1399, 1739, 1987, 2016, 2126, 2159, 2352, 2508, 2520, 2629, 2697, 2709, 2725]"
Pizza Hut Saint-Laurent,
Loyalsock Hotel,
Mix Bar and Grill,
La Esquina Mexican Grill,
KWIK TRIP #638,
Old Florida Grill & Oyster House,
Papa John's (PJ) Distribution Food Services,
The Hut Bridlington,"[334, 789, 969, 1416, 1489, 1624, 1858, 2128, 2331, 2959]"
The French Whisk,"[789, 1172, 1355, 1921, 2897]"
Chifu's Cantina,
Turtle's Bar & Grill,
Quynh's Restaurant,
Yvonne Arnaud Theatre,
Pappageorge Restaurant & Bar,
The Corn Crib of Newman,"[105, 174, 751, 792, 1858, 2175, 2498, 2614]"
Brickhouse 714 Bar and Grill,
Gloria Jean's Coffees Northwoods Mall,
One Pot,
Anejos Cocina Mexicana,
Palo Mesa Pizza II,
"Wendy A. Wright, MA","[119, 274, 465, 466, 479, 524, 2018, 2031, 2238, 2311, 2756]"
Sabaidee,[2617]
Augusta Grille,
Table 19,[1415]
Wolf Mountain Vineyards,[995]
Pho Hung Cuong Restaurant,
The Contented Vine,"[37, 348, 511, 537, 789, 836, 1071, 1317, 1355, 1390, 1416, 1562, 1858, 2475, 2614, 2638, 2863]"
Emmas Coffee Lounge,
Central Middle School Cafeteria,"[47, 358]"
Pho 815,"[926, 2560]"
Alfredo's Pizza King,
Metals Sports Bar and Grill,
101 Coffee,"[63, 223, 563, 1136, 1188, 1189, 1613, 2072, 2131, 2634]"
Blossom Beauty Bar PLLC,
Check Please Cafe,
Lil Baghdad,[2592]
Elysium Axe Bar,
Ruskins Bar,
Zeneli Cafe,[305]
Tacos vs Burritos Cantina,
Mr. Billy's Bar and Grill,
Bardenay Restaurant & Distillery - Coeur d'Alene,
Viva La Vida Mexican Cuisine Opelika,
THE GRILL,"[315, 789, 924, 941, 969, 1146, 1278, 1313, 1624, 1842, 2017, 2161, 2250, 2371, 2385, 2863, 2897, 2914]"
Pizza Patrón Fredericksburg,
Kanona Cafe,
Heart and Soy / Roots,
Starr Street Diner,[663]
Blooming Grounds Coffee House,
Hurst’s Restaurant and Seafood,
8th Street Restaurant & Saloon,
il Corso,
Mums Cafe,[1277]
Casa Zamora Restaurant,
Sweetheart Cafe & Tea,
Andy's Hickory Pit Bar B Que,[976]
Train's Tavern,
Private Burger Plug,
Caffè Nero Victoria Place,
HEART Program,[2435]
The Coffee Cup Cornwall,"[705, 1227, 1858, 2475, 2498, 2603, 2614, 2947]"
Jack Holders Restaurant & Bar,
Gardner Ale House,
"American Coffee House, LLC",[1569]
Wu's Fine Chinese Cuisine,
Delhi House Cafe,
Hua Mei Café,
Mallards Pike,
Poseyes en Elizabeth,
46th St. New York Style Pizzeria/Helotes,
Ceylins Restaurant,
"Star Pizza, Kebab & Burger",
Suwana's Thai Orchid Restaurant,
Brown Bag Sub Shoppe,[1030]
The Chicago Cafe,"[140, 511, 789, 792, 1056, 1313, 1564, 1712, 1931, 2144, 2385, 2400, 2614, 2947]"
Franklin NB at Burger King,
Marchese Italian Market & Cafe,
Good Fortune Chinese Restaurant,
What's Cooking Cafe,[1891]
Bubble & Pho,
CFAES Cafe,"[858, 1079, 1174, 1828, 2210]"
KOGI,
Ye Olde Worlde Cafe,
Wyckoff Restaurant,
California Bakery,
Peninsula Point,
Brown's Drive In,
Antiques And Cafe,
Little Italia,"[1099, 1584, 1703, 2086]"
New Delhi Palace,
Yummy Villa,
Andrade's International Restaurant,
3C's Family Restaurant,
Dip Dog Stand,
Sorriso Ristorante & Bar,
"Village Bakery & Cafe, Pittsford NY",
Muddy Waters Sports Bar & Grille,
Z-Place Pizza,
The 1901,"[43, 50, 64, 91, 92, 105, 110, 139, 140, 156, 217, 239, 247, 284, 315, 334, 348, 404, 480, 511, 519, 532, 537, 545, 560, 584, 596, 652, 662, 687, 698, 699, 717, 734, 765, 807, 836, 852, 924, 941, 969, 1048, 1056, 1071, 1134, 1141, 1146, 1161, 1172, 1173, 1205, 1240, 1252, 1276, 1278, 1301, 1313, 1317, 1333, 1355, 1360, 1390, 1397, 1416, 1419, 1436, 1437, 1459, 1489, 1505, 1564, 1604, 1610, 1624, 1649, 1658, 1674, 1712, 1725, 1726, 1770, 1842, 1858, 1902, 1921, 1922, 1931, 2030, 2039, 2090, 2115, 2125, 2128, 2144, 2161, 2178, 2180, 2184, 2188, 2229, 2232, 2242, 2250, 2315, 2322, 2331, 2344, 2347, 2371, 2385, 2400, 2475, 2499, 2625, 2628, 2638, 2680, 2723, 2803, 2846, 2863, 2882, 2897, 2903, 2906, 2910, 2914, 2923, 2925, 2935, 2947, 2959, 2977]"
Red Boy Pizza & Restaurant Ignacio,
Rooster Hand Crafted Coffee,
The Organic Hair Cafe,"[37, 705, 765, 941, 1172, 2102, 2502, 2571, 2923]"
Domenico's Delicatessen and Cafe,
Sasquatch Tavern and Grill,
Pizza Plugg,[2037]
Creekside Bar,
Vino Loco Wine & Tapas,
Two John's Saloon,
Merewood Country House Hotel,
Playmaker's,
Red Bowl Chinese Restaurant,
Hunt Enterprises,
Ruggiero's Pizza & Deli,
Woodstock,
Restaurant La Belle Province,"[467, 1615, 2015, 2559, 2904]"
Shuffle's West | The Ultimate Sports Gaming Bar,
The Outsider,"[217, 480, 652, 789, 1048, 1146, 1173, 1725, 1842, 2161, 2250, 2906]"
Curve -Inn,
"Indian Flavour, Indian Takeaway",
Also Known As,
Cafe Nutella,"[11, 26, 200, 249, 282, 283, 338, 407, 547, 610, 857, 948, 998, 1375, 1399, 1544, 1987, 2068, 2159, 2352, 2520, 2573, 2615, 2629, 2709, 2721, 2725]"
Nestle Toll House Cafe - North Little Rock,
Edwards,[2021]
Jewellery by Shell,
Bar Acuda,"[849, 1059, 1170, 1311, 2319]"
Herradero Bar,
Farmers Fishers Bakers,
Beckett's Burger Bar & Barrel Room,[2481]
Gayle's Bakery & Rosticceria,
Gojo Market,
Bean Barn 2,[2001]
Riverside Market,
Brasil Kiss Coffeebar,
Old country buffet,
Mozzarella's,
Aldens Fishmarket & Restaurant,
Fast Eddie's Fried Chicken,
Palominos Bar and Restaurant,
Northern Expresso,"[52, 867, 1978]"
"Finish Line Bar & Grill, llc",
Macdonald Morlich Hotel,"[73, 2022]"
South Dayton Hotel,[413]
Wings Heaven,"[311, 2185]"
Nick's House of Pizza Restaurant,
Pasha Middle East Cafe,
The Woodlands Cafe,"[140, 404, 511, 537, 662, 789, 1276, 1313, 1505, 1562, 1604, 1674, 1712, 1842, 2090, 2125, 2331, 2347]"
Butler Family Restaurant & Diner,
Green Iguana Bar & Grill,[2543]
Weir Country Store,
Taormina's Family Restaurant,
Staywell Nourished Cafe,
Bubble Tea and Thai Cafe,
Taqueria Express Mexican Food,"[679, 1104, 1686, 2118]"
"Lynx Lake Cafe, Store & Marina",
a167 cafe,"[1484, 2513]"
Annie’s Smoothie Shop,[664]
Mariachi Fiesta,
Chaptico Market & Deli,
Bar 46,"[41, 557, 815, 1028, 1059, 1170, 1199, 1311, 1386, 1458, 1592, 2152, 2319, 2564, 2657]"
Navarre,
COVE,"[973, 1487]"
The Inn on Main,"[110, 511, 532, 789, 1056, 1658, 1725, 2846, 2863, 2959]"
Olde Hickory Station,
The Long Bar Pub & Grill,"[43, 89, 1624, 1696, 1699, 1858, 2030, 2094, 2135, 2909, 2973, 2980]"
Montana's Saloon (Shoptalk),
Ride On Smoothie & Juice Bar,
Cafe Ritz,"[11, 26, 61, 249, 282, 407, 547, 562, 610, 690, 811, 948, 1026, 1107, 1375, 1399, 1442, 1544, 1739, 1987, 2126, 2304, 2352, 2508, 2520, 2573, 2615, 2629, 2697, 2709, 2721, 2725]"
Andes Cafe,[1828]
Stesti Beer Garden,
IL Forno Italiano,
Shugrue's Restaurant and Brewery Group,
Tortillas Carolina,[1353]
Jimmy's Main Street Grill,[588]
Café Zuzu,"[365, 1325, 1375, 1533, 1940, 2573, 2721]"
River Birch Lodge,[515]
Imperial China Watford,
North Shore Inn,"[52, 829, 1978]"
Stonehouse Supper Club,
Lucky Slice Pizza - Logan,
Monkey's Bar & Grill,
Bell's Drive In,
Sidelines Steak & Sports Bar,
Trinidad tropical sno,
Lilico's,
inka grill peruvian cuisine,
Basmati,
Rusty Cup,[962]
Michael's Deli & Seafood Brunswick,
Kaminsky's New York Deli,
Tuckaway Cafe,
J J's Diner,
Apsara Coffee,
"Flourish Nurturing Body Therapy, Wendy S. Klebs, CMT",
Pick O' Deli Cafeteria @ Riverside,
Uncle Nolan's Diner,
Gusto - Ristorante Italiano BYOB,[2277]
Violet’s Cafe,
Tom's Burgers 25,[1239]
Tea House 650,
KZ CRAWFISH,[2108]
Guerrilla Grill,
Seoul Food,
Comida De Cuaresma,[1917]
Farmer's Pick Café,
Urgent Care Clinic,
Shin-La Restaurant & Sushi Bar,
Lin Bo Chinese Restaurant,
A Bar 3H Ranch LLC,
Wyland,
Santa Fe Cafe Restaurant,
Berwick Garden Centre,
Old Southwest Social House,
Jempson's Cafe,
McDonald Agency,"[1522, 1993, 2309, 2590]"
Ziggy's BBQ Smokehouse & Ice Cream Parlor,
Rabbani's Indian Restaurant,
Pyramid's Lounge and Catering,
Glacial Till Cider House & Tasting Room,
Notting Hill,
Playoffs Sports Bar,
Lazy H Soda Barn,
Neath Market Curios,
K11 Restaurant & Bar,
dark corner coffee,
Emelio's Restaurant,
Whizzerville Hall,
Pollard's Bar-B-Que,
Sweet Home Saloon & Grill,"[2203, 2450, 2487]"
West End Curry House,
Redland's Pizzeria,
Dorset House Family Restaurant,
Havana Libre Cuban Cuisine,
Olivers Restaurant & Function Suite,[2785]
The Clamdigger,"[92, 532, 537, 734, 789, 2385]"
Sidestreet Grille & Pub,
Pho Vina Restaurant,[720]
Jerry's Juice Bar,
Lab'n Lager,
Aberdeen Art Gallery,
Espresso 22,[2759]
Salt Seafood & Oyster Bar,
Puffer's of Pismo,
Okie Pokii Cafe,[1002]
Summit Family Restaurant,"[572, 2643]"
Roll-N-Donuts Cafe & Douangchay's Kitchen,
Roswell Donuts And Breakfast,
Deluca's Pizzeria,
Wubba's BBQ Express,
Harvest Seasonal Grill - Lancaster,
Clockwork Cafe in Prospector,
The Argonaut,"[92, 480, 532, 584, 734, 789, 792, 1048, 1172, 1278, 1842, 2030, 2161, 2184, 2371, 2625, 2846, 2959]"
Chai Coffee Cafe,
Howard's Cenex East,[137]
Bayfront Lounge,
Stef's Pizza Zumbehl,
54th Street Scratch Grill & Bar- Shoppes of Culebra,
Fercott Fermentables,
Cafe Nexus,"[11, 26, 61, 249, 407, 547, 610, 811, 857, 1107, 1375, 1442, 1544, 1739, 1987, 2068, 2304, 2573, 2615, 2721, 2725]"
Willhoite's Restaurant,
Da Vinci Hookah Lounge & Bar Inc.,
T C's Country Kitchen,
Terra Cotta Coffee House,
Daramar's Pizza & Restaurant,
Casa Jardim,
Bang Bar Thai Restaurant & Lounge,
Toby Carvery Morecambe,
Fuentes Steak House,
Roma Pizza Franklinton,
Riverwalck Saloon,
Seven Hills Cafe on the Green,
Victoria's Country Diner,
Rusty Magnolia,[877]
Meze Mangal Restaurant,
Joe's Pizza and Sub,
Grupo Viviendo Sobrio,
Fun Days,
Mayeaux's Steak & Seafood Restaurant,
Gold House Pizza & Restaurant,
The Trillium Lodge,"[404, 698, 734, 789, 1489, 1624, 2017, 2232, 2331, 2863]"
Caithness Deaf Care,
Rowdy Hogs Smoke House and Grill,
Pinto Beans,
Covert Cafe,[851]
Antonia’s At The Beach Restaurant,
Tiger Lily Café,
Andy's Pub,"[746, 2217]"
Dimitri's Café,
Vivido Bar And Restaurant,
Victoria Road Post Office,
Labemi's Tavern & Restaurant,
Vietnamese Sandwiches & Noodles,[1821]
Detroit Lakes Corner Market,
Rio Blanco Family Restaurant,[1164]
J-Bar Auto Inc,
Dr. Wendy Lorenzen,"[464, 1827, 1852, 1994]"
Dunkin’ & Baskin-Robbins,
Tinnie Silver Dollar,
Lihoudies Authentic Greek Cuisine & Bakery,
Lavender Fields,
Guapas Mexican Grill,
Angels Italian Restaurant,[292]
Wilson Creek Gardens,
Molly's Café Bar,
Heritage Hotel - Lancaster,
Wolfie's Restaurant,"[715, 774]"
Market Bistro,"[676, 2760]"
Nutrition Bar,
Cafe Blue Dream,"[11, 26, 143, 249, 282, 407, 547, 562, 811, 1001, 1375, 2016, 2068, 2159, 2573, 2629, 2721, 2725]"
Paper Duck Buffet,
FlamentCo Frozen Foods,
Cafe La Llave,"[11, 143, 200, 249, 407, 547, 610, 998, 1375, 1399, 2159, 2304, 2520, 2615, 2709, 2725]"
Okie J's,[933]
Descanso Restaurant,
OZORA TRUCK STOP CAFE,
Carol's Place,[2746]
Unique Bite Eatery,
Boscawen Street,
Lasse's Restaurant,"[1331, 2262]"
MUMMY CAFE,
Wendy Massa - Keller Williams Realty,
Captain's Table Fish House Restaurant,
Wildlife Safari,"[285, 1927]"
Subway Outbound,
Soltane Cafe,
A J Family Restaurant,
Miranda's Cake House and Cafe,
Seiad Cafe,
The Nook Artisan Gelato,"[37, 55, 89, 334, 854, 1209, 1699, 1858, 2498, 2980]"
Tataki Sushi Bar,
Club House Grille,
Fare and Just Kitchen,
El Antro Bar,
7 Star Wings Restaurant,[663]
Luv 2 Play Appleton,
CowHaus Coffee Company,
Cafe Aina Restaurant,"[11, 26, 547, 783, 857, 1107, 2352, 2629, 2685, 2721, 2725, 2776]"
5palmas,[1128]
Bar none dairy,"[849, 1059, 1311]"
T & D's Grill,
Brown House Cafe,[764]
Wake Up Marco,
La Bahia Restaurant,[2493]
Chicago,
Watsonburger on Morton Street,
La Jefas Shack,
Poppyseed Market,
A Farm Pizza ( Torquay),
That'sa Pizza: Long Lake,
Valenzuela's Cafe,
I Heart Mac and Cheese Benton,
Toast Red Bank,
Loon Cafe St. Paul,
Mi Mexico Lindo Tienda y Taqueria,
Sixfields,[212]
White Pine Pizza 2,
Royal Thai Cuisine Express 89,
Atlantic Community School Cafeteria,
The Taste,"[239, 284, 480, 519, 537, 687, 734, 789, 807, 941, 1173, 1205, 1240, 1276, 1278, 1313, 1333, 1397, 1419, 1459, 1505, 1610, 1649, 1658, 1674, 1842, 2027, 2090, 2125, 2144, 2161, 2180, 2184, 2188, 2229, 2242, 2250, 2315, 2347, 2371, 2723, 2846, 2882, 2906, 2910, 2914, 2925, 2935]"
Sweet Magnolia Cafe,"[2203, 2487]"
Carbonero Rotisserie Charbroiled Chicken & Steaks,
Becca's Sweet Tooth,
Whitley bean,[1963]
Weezy's,
The Bunker Hill Rock 'N Pizza,"[1206, 1374, 2089, 2094, 2175, 2499, 2973]"
Dean's Garden Centre,
The Infusion Cafe,"[50, 140, 156, 511, 765, 789, 852, 1172, 1505, 1610, 2090, 2144]"
Chryston Cafe,[1122]
Bear Creek Marina & Restaurant,
Bar 90,"[41, 557, 815, 849, 1028, 1170, 1199, 1311, 1386, 1458, 1592, 2152, 2319, 2564, 2657]"
Caffeine Machine,[338]
I Am Frozen Dessert Cafe,
Yummi Yummi Mongolian Grill & Sushi,
LEON Oxford,
The Sports Corner Bar & Grill,"[480, 1200, 1206, 1374, 1490, 1497, 1765, 2027, 2135, 2175, 2909, 2973]"
Urban Brews & Creamery,
Berean Bean,[1418]
Molinos Coffee,
Easy Egg Cafe,
Macs & Stacks - North Little Rock,
Comma Coffee,"[177, 1998]"
The Tiny Pony Tavern,"[110, 717, 789, 1847, 1858, 1921]"
Kick Switch Bar And Grill,
Hank's Bowl Inc Lounge and Restaurant,
Copperbarn Coffeebar & Eatery,
Big Rock Pizza Co.,[346]
83 Diner,[651]
Reba’s,
Daddy B's BBQ Okmulgee,
Papo's Cafe,
Wacky nachos,
HoneyFish Apple Valley,
El Kanelo Mexican Restaurant & Bar,[1303]
Jonny's At Oak Tree,
Kerbey Lane Cafe - Northwest,
Shop At the Top,
Bailey's Smokehouse,
The Wydown Coffee Bar,[2331]
Güllüoğlu Baklava & Cafe,
La Chingada Restaurante y Carniceria Mexicana,
Wok Inn,
Hate Burger,
ATM (Morrisons Horndean),
The Best Hummus Ever Co.,[2360]
Real Estate Cafe LLC,
Marble House Coffee,
Spare Time Texas,
Scooter’s Fish Haus,
Jimmie Kramer's Peanut Bar Restaurant,
Little Pig,"[779, 1584]"
Hey Hey Bar & Grill,[2354]
Asian Taste Lee,"[1179, 2970]"
Great Lakes Grill,"[580, 1986]"
Nawab,
Taqueria lo que sea,"[254, 372, 679, 843, 1686, 1691, 2118, 2248, 2482, 2684, 2985]"
Yau's,
Santo Burrito (Inside The Smoked Jalapeno),
Cafe Pinar,"[11, 26, 61, 249, 407, 547, 562, 610, 857, 948, 1026, 1375, 1399, 1442, 1544, 1739, 1987, 2016, 2126, 2304, 2352, 2508, 2520, 2573, 2615, 2629, 2709, 2721, 2725]"
Turn Grill,
Uncle Mike's Corner Pub and Grill,
Slapsticks Cue & Brew,
Outer Bar & Grille,
Maria's Taco Shop Pahrump,
Anderson Family Coffee,[1965]
Bamberg House of Pizza,
Girvan Pizzeria,
Nia's Towne Square Restaurant,
Mutha Stuffers,
"Squires Cafe & Restaurant, London",
Rockin' S Bar & Grill,[1744]
Giordano's Pizza House,
Bar/Nun Lawncare and Handyman Services,
Chrysocolla5150,[1057]
Stimulus Coffee + Bakery,
Louis Family Restaurant,
Willows Bar,
Marroquin Restaurant and Tortilla Factory,
The Farmhouse at Turkey Hill,"[1309, 1693, 2067]"
Palmer Foodservice,[1027]
Bistro 221,"[1428, 1905]"
Ashley Phosphate Rd/ Dorchester Rd,
La puerta del sol,
El Tejano Restaurant,
Castle of Comfort Hotel & Restaurant,
The Abundant Harvest,"[348, 789, 2030, 2498, 2603, 2806]"
Don Tequilas Mexican Grill,
Coffee N cream,"[63, 223, 563, 723, 1188, 2634]"
Boccattas Bistro & Coffee Shop,
Surfside Coffee House,[2791]
STEELY NEVADA'S BAR & LOUNGE,
Chu Hoi,
THE CRACKED CUP LLC,"[789, 1355, 1360, 1931, 2115, 2331, 2347]"
Kegler's Restaurant,
Manny's Cucina Napoletana,
Wendy's Wonderful Cleaning,"[1580, 1714]"
Dolly Down Grill,
The Depot Grill,"[247, 404, 652, 734, 789, 807, 2385, 2499]"
Lj's Neighborhood Bar & Grill,
Sid Harvey's Family Diner,
Prezzo Italian Restaurant Uxbridge,[1237]
Barnes & Noble College at CCBC Catonsville,
Sweet Waters Family Restaurant & Lounge,
Great Harvest Bakery + Café,
Players Park Family Fun Plex,
Hibachi Steak House & Sushi Bar,[2366]
Hog Rock Cafe,
Mazaydar,
Bei Jin Restaurant,
Biff's Kitchen,
Bright Star Restaurant,
Pinecrest Restaurant,[2141]
The Sweet Petite,"[239, 511, 699, 789, 1313, 1610, 1658, 1726, 2125, 2385, 2400, 2897, 2906, 2925]"
Shokey's Country Kitchen,[1903]
Billy Sunday's Sports Grill,
Rio Blanco Cafe,[983]
Gatto's Italian Restaurant and Bar,
Moonshine Gulch Saloon,
Moreland Center Cafe,
Anna's Cocina & Tequila,[1709]
Stella's Cucina,
barbecue.,"[815, 849, 1059, 1311]"
Richmond Park Bar & Grill,
The Front Cafe,"[91, 140, 174, 451, 584, 699, 789, 792, 941, 1056, 1437, 1459, 1564, 1712, 1921, 2039, 2144, 2344]"
The Turks Head,"[652, 789, 807, 1048, 1649, 1658, 1712, 1842, 2161, 2242, 2591, 2906]"
Greys Cafe,
Cue Club Cafe,
T's Crawfish Trap,
Potter's Restaurant & Lounge,
Thyme & Place Cafe,
Asian Fusion Buffet,"[1101, 2970]"
Jamaican Flava Caribbean Cooking LLC,
Emporium Cafe,
Killbuck Inn,
Hayat,
The Woodhey Restaurant,"[1562, 2030, 2125, 2331, 2603, 2806, 2867]"
Beezoo Coffee,
Schmizza Public House,
Moathouse Bakeaway & Coffee Co.,
Coffee London,"[63, 223, 563, 723, 1136, 1613, 2072]"
Coffee#1 Southsea,"[563, 723, 2072]"
Sapphire Kitchen & Bar - Leicester Restaurant,
Floozies Pie Shop,
Chilis Indian Restaurant,"[2087, 2643]"
Portum Restaurant and Lounge,
PieZano's Pizza,
Lil'B Coffee Bar & Eatery,
Enigma Jalisco,
Loaded Cafe Restaurants Gardena,
Kappa,[513]
Bar Six Sandbach,"[849, 1059, 1311]"
The B.T.C. Old-Fashioned Grocery,"[275, 420, 432, 615, 1206, 1696, 1699, 1822, 1941, 2027, 2175, 2421, 2500, 2614, 2642, 2817, 2867]"
Rolaz Taqueria,
Amigas Burritos & More,
Ichiro 🍣 Sushi & Teriyaki 🍙 Restaurant,
K T's Snack Bar,
The W.A.V.E,"[687, 789, 1048, 1240, 1276, 1397, 1459, 1649, 1674, 1921, 2090, 2144, 2180, 2229, 2250, 2315, 2846, 2923, 2935]"
The Parlor Nail & Beauty Bar,"[144, 1054, 1064, 1200, 1490, 1964, 2135, 2424, 2500, 2973]"
Rodeo Mexican Restaurant Lake Park,
Downtown Grill,[1920]
The Melting Pot Restaurant,"[369, 406, 420, 502, 1018, 1309, 1699, 1765, 2067, 2135, 2571, 2806, 2973, 2980]"
Asda Linwood Superstore,[1589]
Pearl River Beccles,
La REGIA Deli And Restaurant,
Caffi Calon Lan,
Hyatt Place Canton,
8 roses eatery,
White Cloud Eagles #4170,
"Holiday Inn Detroit Lakes - Lakefront, an IHG Hotel",[2472]
Ice House Restaurant,
The Amherst Corner Restaurant,"[25, 535, 1286, 1322, 1574, 2542, 2571, 2878]"
Andrea's Mexican Restaurant,[561]
Silver Dollar Chuck Wagon,"[201, 210]"
Dipper Ice Cream,
Soroba House. Bar & Restaurant,
PROVIDER Coffee & Cocktail Lounge,
Starbucks Sutter Point Plaza,"[619, 1623, 1946]"
Lake City Perk Espresso,
The Chapterhouse Cafe,"[37, 751, 1301, 1498, 1922, 2102, 2115, 2424, 2591, 2947]"
Daily Treat Restaurant,
Knotty Pine Bar & Grill,
Sunday,[2302]
Cuppa Jones,[1567]
Shan Kishi,"[579, 1700]"
Fabulous Pho Vietnamese Restaurant,
Artisans Books & Coffee,
Agave Taqueria,
Honey Moon Mead & Cider,
Prezzo Italian Restaurant Reading,[1149]
Squire’s Garden Centre,
Tom's Burned Down Cafe,[888]
The Baked Bean,"[91, 348, 789, 1048, 1173, 1205, 1416, 1459, 1649, 1658, 2498]"
"KML Enterprises, Inc. dba McDonald's",
Perkins Road Overpass,
Camelot Park,
Seaside Raw Bar,
Sue Bee Cafe,[320]
Chamo Arepas,
Mr. G's Pizza - Diamond Bar,
44 Canteen,
LT Burger,
Babylon Fish & Clam Restaurant,
Hugo L. Black United States Courthouse,
The Old Goat Tavern,"[217, 662, 789, 1489, 1624, 2331, 2863, 2923]"
Southwood Restaurant & Venue,[2948]
Touch of Italy Restaurant,
Amore Italian Restaurant - Aberdare,
Big Papa's PhillyCheesteaks & more,
La Bamba Mexican Grill & Bar,"[463, 2777]"
4th on Main,
Le French Denver,
Three Witches Tearoom,
Woody'z Bar & Grill,
Moy's Dynasty Restaurant,
El Sazon,"[437, 1816, 2999]"
8 Sisters Bakery & Cafe,
Windy's Pet Parlour,
Frisby's Restaurant,
Spiritwood Resort,[542]
Old New York Deli & Bakery Co.,
Sky Acres Airport -44N,
Rumor's Liquor & Lounge,
Dairy Keen,[1863]
Wuollet Bakery & Coffee,
C & D Drive-In,
NAIC Café - Starbucks - We Proudly Serve,
Gorge Restaurant & Lounge,[1296]
The Salt Cafe,"[140, 239, 284, 315, 519, 532, 537, 687, 789, 836, 1048, 1205, 1278, 1313, 1333, 1397, 1459, 1649, 2090, 2144, 2180, 2184, 2229, 2347, 2371, 2906, 2910]"
Mag's Cafe,"[179, 743, 1430]"
The Arlington,"[37, 315, 532, 734, 789, 941, 1048, 1624, 1842, 2180, 2184, 2344, 2371, 2846, 2863, 2959]"
Triple P Barbeque,[2113]
j&j juju,
Aldea Coffee - Muskegon,
Lahori Kabab Restaurant | Harrisburg,
Woody's Pizzas Barrhead,
Bombay Sweets,
Angry Garlic,
The BEAN on 41 TRUMPYTOWN Coffee Shop,[1219]
Aloha Lanai Cafeteria,
Zamani's Restaurant,
Centre Caffe,"[47, 1743, 2356]"
Heirloom Taco,
PS Drag Brunch,
What About Kabob & His Gyros,
Ying Wah,
The Boat House at Millens Bay,"[1822, 2330]"
Ten Sleep Saloon & Steakhouse,
Ma'kai Restaurant & Lounge,
Lincoln High School,[1518]
Players Sports Bar & Grille,[1345]
Colatina Exit,
313 Franklin - Cocktails and Kitchen,[2364]
The Red Cup Espresso,"[303, 789, 1227, 1505, 2102, 2360]"
Senor Fox Mexican Restaurant,
El Tepame Mexican Restaurant,[1082]
MCL Restaurant & Bakery Arlington,
Sushi A La Hattori,
Naples Costa Verde Peruvian Restaurant,
Mi Gusto Es (Taco Truck),
Swagat Indian Sweets & Restaurant,
The Marsh Mills Beefeater,"[615, 1127, 1209, 1508, 1672, 2806]"
Ciber 3G,
Bar 270,"[41, 557, 815, 849, 1028, 1059, 1170, 1199, 1386, 1458, 1592, 2152, 2319, 2564, 2657]"
Clarence's Steak & Seafood House,
The Skillet Cafe,"[64, 140, 284, 315, 734, 765, 789, 836, 1048, 1276, 1355, 1658, 2229, 2347, 2906]"
Tony's Japanese Restaurant,
Gylly Beach Cafe,
Tomaso's Canteen,
The Buffalo Tavern,"[334, 404, 584, 789, 1902, 2039, 2128, 2959]"
Salt & Barrel,
Becca's Backwoods Bean Coffee Shop,
Groovy Goat,
Shhmatty’s “Burgers & Dogs” (Inside the Chevron),
The Carre Arms Hotel & Restaurant,"[671, 1219, 1497, 1574, 2049, 2878, 2952]"
Tour & Taste Restaurant,
Visocchi's Cafe,
Café 76,"[11, 287, 365, 547, 864, 1528, 1533, 1940, 2156, 2201, 2412, 2725]"
El Menurrito,[2890]
FASS Unmanned Petrol Station,
BJ's Diner,
Highland Cinema,[2307]
DCC Cafe,
Ollie`s Restaurant,
Lynn Britt Cabin,
The Book Café,"[43, 284, 519, 687, 789, 1048, 1459, 2322, 2723]"
Mountain Rest Cafe LLC,"[68, 489]"
Apong’s Philly Steak,
Tambayan Restaurant,
Thirsty Arrow Bar and Grill,[2963]
Pirate's Well Restaurant & Bar,
Miramar Biky Backery,
La Flor De Michoacan,[2804]
Miss Kathy's,
Big Whiskey's American Restaurant & Bar Tulsa,
Siberia Bar & Hotel,
Mollie’s Takeaway & Diner,
Players Club Bar & Grill,[1298]
King Pho Vietnamese Kitchen,
Quickly Cafe,
Aloy Aloy Thai Cafe,
Charm Thai Cuisine,
Wolds Way Cafe,
HonduMex Restaurant,
Blue Bay Asian Cafe Denver,
Tortilla Café,[862]
Las Morenitas,
The Charles Dickens,"[64, 315, 537, 699, 717, 789, 1313, 1436, 1562, 1610, 2331, 2347, 2882]"
Parson's Steakhouse,
Day & Night Market,
Bbq'd Restaurant,
River's Edge Grille & Tavern,
The Temperance Club,"[789, 1390, 1564, 1902, 2115, 2128, 2475]"
